idDrink,strDrink,strAlcoholic,strCategory,strGlass,strIBA,strDrinkThumb,strInstructions,ingredients
14029,'57 Chevy with a White License Plate,alc,Cocktail,Highball glass,,http://www.thecocktaildb.com/images/media/drink/qyyvtu1468878544.jpg,1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir,"1 oz white  Creme de Cacao, 1 oz  Vodka"
15395,1-900-FUK-MEUP,alc,Shot,Old-fashioned glass,,http://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg,Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.,"1/2 oz  Absolut Kurant, 1/4 oz  Grand Marnier, 1/4 oz  Chambord raspberry liqueur, 1/4 oz  Midori melon liqueur, 1/4 oz  Malibu rum, 1/4 oz  Amaretto, 1/2 oz  Cranberry juice, 1/4 oz  Pineapple juice"
15423,110 in the shade,alc,Beer,Beer Glass,,http://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg,Drop shooter in glass. Fill with beer,"16 oz  Lager, 1.5 oz  Tequila"
14588,151 Florida Bushwacker,alc,Milk / Float / Shake,Beer mug,,http://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg,Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.,"1/2 oz  Malibu rum, 1/2 oz  Light rum, 1/2 oz Bacardi  151 proof rum, 1 oz  Dark Creme de Cacao, 1 oz  Cointreau, 3 oz  Milk, 1 oz  Coconut liqueur, 1 cup  Vanilla ice-cream"
15346,155 Belmont,alc,Cocktail,White wine glass,,http://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg,Blend with ice. Serve in a wine glass. Garnish with carrot.,"1 shot  Dark rum, 2 shots  Light rum, 1 shot  Vodka, 1 shot  Orange juice"
17060,24k nightmare,alc,Shot,Shot glass,,http://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg,"Add over ice,shake and pour.","1/2 oz  Goldschlager, 1/2 oz  Jägermeister, 1/2 oz  Rumple Minze, 1/2 oz Bacardi  151 proof rum"
15288,252,alc,Shot,Shot glass,,http://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg,"Add both ingredients to shot glass, shoot, and get drunk quick","1/2 shot Bacardi  151 proof rum, 1/2 shot  Wild Turkey"
13899,3 Wise Men,alc,Shot,Collins glass,,http://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg,put them them in a glass... and slam it to tha head.,"1/3 oz  Jack Daniels, 1/3 oz  Johnnie Walker, 1/3 oz  Jim Beam"
15300,3-Mile Long Island Iced Tea,alc,Ordinary Drink,Collins Glass,,http://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,"1/2 oz  Gin, 1/2 oz  Light rum, 1/2 oz  Tequila, 1/2 oz  Triple sec, 1/2 oz  Vodka, Coca-Cola, 1-2 dash  Sweet and sour, 1 wedge  Bitters, Lemon"
13581,410 Gone,alc,Ordinary Drink,Collins Glass,,http://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,,"2-3 oz Peach Vodka, Coca-Cola"
14598,50/50,alc,Ordinary Drink,Collins Glass,,http://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg,fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.,"2 1/2 oz  Vanilla vodka, 1 splash  Grand Marnier, Fill with  Orange juice"
17105,501 Blue,alc,Ordinary Drink,Collins Glass,,http://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg,Mix equal amounts into a glass with ice.,"Blue Curacao, Blueberry schnapps, Vodka, Sour mix, 7-Up"
13940,69 Special,alc,Ordinary Drink,Collins Glass,,http://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg,"Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.","2 oz dry  Gin, 4 oz  7-Up, 0.75 oz  Lemon juice"
14229,747,alc,Shot,Shot glass,,http://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg,"pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!","1/3 part  Kahlua, 1/3 part  Bailey's irish cream, 1/3 part  Frangelico"
16108,9 1/2 Weeks,alc,Cocktail,Cocktail glass,,http://www.thecocktaildb.com/images/media/drink/xvwusr1472669302.jpg,Combine all ingredients in glass mixer. Chill and strain into Cocktail glass. Garnish with sliced strawberry.,"2 oz  Absolut Citron, 1/2 oz  Orange Curacao, 1 splash  Strawberry liqueur, 1 oz  Orange juice"
15200,A Day at the Beach,alc,Ordinary Drink,Highball glass,,http://www.thecocktaildb.com/images/media/drink/trptts1454514474.jpg,"Shake Rum, Amaretto, and Orange Juice in a shaker filled with ice. Strain over ice into a highball glass. Add Grenadine and garnish with a Pineapple Wedge and a Strawberry.","1 oz  Coconut rum, 1/2 oz  Amaretto, 4 oz  Orange juice, 1/2 oz  Grenadine"
11000,A Furlong Too Late,alc,Ordinary Drink,Highball glass,,http://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,"2 oz  Light rum, 4 oz  Ginger beer, 1 twist of  Lemon peel"
16943,A Gilligan's Island,alc,Cocktail,Collins glass,,http://www.thecocktaildb.com/images/media/drink/wysqut1461867176.jpg,"Shaken, not stirred!","1 oz  Vodka, 1 oz  Peach schnapps, 3 oz  Orange juice, 3 oz  Cranberry juice"
11001,A Night In Old Mandalay,alc,Ordinary Drink,Highball glass,,http://www.thecocktaildb.com/images/media/drink/vyrvxt1461919380.jpg,"In a shaker half-filled with ice cubes, combine the light rum, añejo rum, orange juice, and lemon juice. Shake well. Strain into a highball glass almost filled with ice cubes. Top with the ginger ale. Garnish with the lemon twist.","1 oz  Light rum, 1 oz  Añejo rum, 1 oz  Orange juice, 1/2 oz  Lemon juice, 3 oz  Ginger ale, 1 twist of  Lemon peel"
16405,A Piece of Ass,alc,Other/Unknown,Highball glass,,http://www.thecocktaildb.com/images/media/drink/tqxyxx1472719737.jpg,Put ice in glass. Pour in shots. Fill with Sour Mix.,"1 shot  Amaretto, 1 shot  Southern Comfort, cubes
 Ice, Sour mix"
14564,A Splash of Nash,alc,Shot,Highball glass,,http://www.thecocktaildb.com/images/media/drink/rsvtrr1472668201.jpg,Drop shot glass with banana & melon liquers into a 9 oz hi- ball glass containing soda water and cranberry juice. Drink in one shot.,"2 oz  Cranberry juice, 2 oz  Soda water, 0.5 oz  Midori melon liqueur, 0.5 oz  Creme de Banane"
